accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	374452.0	548754.0	638496.0	689137.0	712098.0	731252.0	742749.0	755522.0	764570.0
2015	4184227	5373643.0	5554423.0	5640985.0	5682217.0	5702348.0	5715009.0	5725075.0	5732717.0	5737500.0
2016	4567326	5741088.0	5949359.0	6046672.0	6096271.0	6117662.0	6134059.0	6140962.0	6145787.0	
2017	5256461	6797613.0	7074586.0	6997890.0	7039379.0	7031354.0	7041781.0	7051815.0		
2018	5654853	7308534.0	7296837.0	7317933.0	7409261.0	7441911.0	7463006.0			
2019	5592284	7171088.0	7433819.0	7564181.0	7631155.0	7665067.0				
2020	6631099	8460946.0	8887138.0	8861184.0	8941258.0					
2021	6547494	8894253.0	9193052.0	9372555.0						
2022	6119288	8811006.0	9215883.0							
2023	8110520	11004877.0								
2024	8688282									
