accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	46764	7310	2226	1100	703	304	181	133	52	104
2010	190162	230676	234109	235326	235865	236064	236201	236286	236315	236350
2011	271950	321666	325964	327315	327866	328103	328235	328290	328352	
2012	223828	282062	287203	288586	289176	289486	289593	289659
2013	186176	219150	222703	223998	224493	224701	224836
2014	215912	249440	253374	254615	255129	255376
2015	223076	259203	263328	264428	265028
2016	217514	250036	253408	254529
2017	234776	269272	272811
2018	213803	250857
2019	200797
