accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	334596	285439	291444	292324	290306	304351	296618	268607	284469	289787
2011	2547964	2492036	2483229	2471924	2471836	2474912	2471372	2465966	2467104	2467812
2012	2263186	2208162	2204701	2204265	2203229	2200143	2194829	2195443	2196185	
2013	2265750	2235853	2247753	2240915	2234688	2231893	2230585	2231216
2014	2768436	2797872	2781836	2778515	2765414	2766104	2768002
2015	3072812	3117172	3086436	3067187	3067536	3061461
2016	3132011	3126303	3112353	3114685	3113577
2017	3986427	3878539	3797247	3626510
2018	3574811	3499899	3502624
2019	3651587	3575651
2020	4295791
