accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	132720	198481	232994	249126	263588	268873	274119	277352	281381
2011	1878889	2323672	2400179	2433611	2448987	2457324	2461389	2463522	2464136	2464820
2012	1568086	2048315	2127912	2161299	2177587	2184062	2189538	2192165	2192747	
2013	1616114	2070099	2155272	2192414	2212961	2221650	2225903	2227467
2014	2030077	2586612	2686262	2723964	2747101	2758203	2762676
2015	2228101	2866936	2968311	3014576	3033979	3040705
2016	2271765	2891039	3002372	3052412	3072502
2017	2704711	3427287	3643029	3535083
2018	2433129	3265171	3351688
2019	2421847	3230051
2020	2691995
