accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	8511	4312	2526	1457	1031	730	524	445	303	274
2011	40712	5215	2043	1053	601	415	286	222	166	159
2012	45712	5872	2189	1215	689	415	315	253	215	
2013	25099	4200	1978	1001	589	414	299	248
2014	23415	4922	2115	1139	676	439	300
2015	25598	5301	2243	1329	748	524
2016	21715	4286	2029	1186	796
2017	22362	5274	2998	1772
2018	27403	5739	2988
2019	22448	4649
2020	25666
