accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	47825	5660	2315	1243	502	317	219	80	138	29
2011	271950	321665	325964	327315	327865	328103	328236	328289	328351	328365
2012	223828	282062	287203	288586	289176	289486	289593	289661	289698	
2013	186176	219150	222703	223999	224493	224701	224836	224901
2014	215912	249439	253374	254615	255129	255376	255530
2015	223076	259203	263328	264428	265028	265279
2016	217514	250036	253409	254529	255020
2017	234776	269272	272812	274471
2018	213803	250858	255020
2019	200798	234406
2020	204637
