accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	336450	299853	281073	282271	289014	286342	296100	290003	267827	282750
2010	1780243	1773714	1743336	1748143	1742279	1742936	1747222	1745586	1739751	1740691
2011	2547964	2492036	2483229	2471924	2471836	2474912	2471372	2465967	2467105	
2012	2263185	2208162	2204701	2204266	2203229	2200143	2194829	2195443
2013	2265750	2235853	2247753	2240915	2234688	2231893	2230583
2014	2768436	2797872	2781836	2778516	2765414	2766106
2015	3072811	3117172	3086436	3067187	3067535
2016	3132009	3126303	3112353	3114684
2017	3986427	3878539	3797246
2018	3574809	3499898
2019	3651587
