accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	85510	8517.0	2865.0	1162.0	557.0	256.0	216.0	182.0	134.0	98.0
2015	1093425	1186526.0	1192200.0	1193865.0	1194579.0	1194874.0	1194961.0	1195025.0	1195070.0	1195100.0
2016	1106076	1183957.0	1190077.0	1191764.0	1192322.0	1192589.0	1192699.0	1192788.0	1192834.0	
2017	1207534	1295015.0	1301415.0	1303122.0	1303751.0	1304035.0	1304195.0	1304247.0		
2018	1126792	1219478.0	1225327.0	1227084.0	1227800.0	1228170.0	1228296.0			
2019	1111471	1201439.0	1208658.0	1210688.0	1211459.0	1211805.0				
2020	1257095	1366119.0	1374373.0	1376721.0	1377504.0					
2021	1290449	1400697.0	1409321.0	1411744.0						
2022	1064502	1178737.0	1185961.0							
2023	1301499	1429551.0								
2024	1396531									
