accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	75609	8669.0	3081.0	1228.0	550.0	290.0	181.0	162.0	142.0	111.0
2014	1212059	1288902.0	1294338.0	1295977.0	1296589.0	1296855.0	1296931.0	1296986.0	1297026.0	1297048.0
2015	1093425	1186526.0	1192200.0	1193865.0	1194579.0	1194873.0	1194962.0	1195023.0	1195070.0	
2016	1106076	1183957.0	1190077.0	1191763.0	1192322.0	1192589.0	1192699.0	1192788.0		
2017	1207534	1295015.0	1301415.0	1303121.0	1303751.0	1304035.0	1304195.0			
2018	1126792	1219478.0	1225327.0	1227084.0	1227800.0	1228170.0				
2019	1111471	1201439.0	1208658.0	1210688.0	1211460.0					
2020	1257095	1366119.0	1374373.0	1376719.0						
2021	1290449	1400697.0	1409321.0							
2022	1064502	1178737.0								
2023	1301498									
