accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	29680	3172	1202	541	260	82	99	89	76	61
2012	369862	403303	405762	406574	406872	407000	407065	407111	407138	407159
2013	294600	316343	318465	319149	319389	319526	319600	319664	319688	
2014	329436	353312	355312	355900	356153	356289	356393	356422
2015	336014	362637	364429	365053	365378	365565	365637
2016	333226	357336	359462	360276	360589	360753
2017	372889	402303	404753	405685	405982
2018	381779	410712	413401	414259
2019	359512	387986	390508
2020	373359	404033
2021	405286
