accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	10124	4189	2462	1560	945	696	509	374	331	224
2010	30679	4322	1850	965	512	336	222	148	114	79
2011	40712	5215	2043	1053	601	415	285	222	167	
2012	45712	5872	2189	1215	689	416	315	254
2013	25098	4200	1978	1001	589	414	298
2014	23415	4922	2115	1139	676	439
2015	25597	5301	2243	1329	747
2016	21715	4285	2029	1186
2017	22362	5274	2997
2018	27403	5739
2019	22447
