accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	9527	4569	2511	1633	1146	811	666	468	435	408
2012	45712	5872	2189	1215	689	415	315	253	215	196
2013	25100	4200	1978	1001	589	414	300	249	179	
2014	23415	4922	2115	1139	676	439	300	224
2015	25599	5301	2243	1329	749	524	379
2016	21715	4286	2029	1186	797	508
2017	22362	5274	2999	1772	1000
2018	27403	5739	2988	1751
2019	22449	4650	2174
2020	25665	5221
2021	31111
