accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	1089234	1021886.0	926263.0	878272.0	858655.0	836563.0	787134.0	794806.0	791142.0	790373.0
2015	5845723	5852853.0	5790848.0	5766330.0	5749767.0	5746907.0	5740136.0	5747493.0	5751027.0	5748320.0
2016	6223812	6228390.0	6193512.0	6178228.0	6166201.0	6161820.0	6158795.0	6160011.0	6157159.0	
2017	7242206	7379978.0	7349528.0	7114028.0	7114251.0	7063633.0	7065664.0	7066195.0		
2018	7743887	7890686.0	7589430.0	7447760.0	7478680.0	7495258.0	7501618.0			
2019	7662153	7708076.0	7694864.0	7699375.0	7714898.0	7740256.0				
2020	9268890	9174630.0	9151515.0	9027023.0	9063806.0					
2021	9394711	9465831.0	9533158.0	9620991.0						
2022	9858893	9638667.0	9651575.0							
2023	12741774	12194479.0								
2024	12791828									
