accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	117441	13526.0	4720.0	2231.0	1079.0	622.0	320.0	203.0	77.0	126.0
2013	606106	688204.0	694739.0	696920.0	697827.0	698156.0	698362.0	698467.0	698501.0	698544.0
2014	745368	839604.0	847069.0	849389.0	850347.0	850796.0	851001.0	851082.0	851176.0	
2015	644796	758134.0	766171.0	768578.0	769676.0	770187.0	770382.0	770495.0		
2016	687044	769991.0	777249.0	779724.0	780691.0	781060.0	781293.0			
2017	713730	804968.0	813031.0	815448.0	816491.0	816887.0				
2018	672263	770468.0	778400.0	780557.0	781698.0					
2019	657256	751824.0	759964.0	762387.0						
2020	721363	834515.0	844464.0							
2021	679799	801642.0								
2022	531532									
