accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	123695	194563	227203	246852	257157	266172	269980	274525	276472
2010	1228187	1615274	1677127	1710248	1725111	1730940	1736387	1737865	1738564	1739852
2011	1878889	2323672	2400179	2433609	2448987	2457324	2461389	2463522	2464135	
2012	1568086	2048316	2127912	2161298	2177587	2184062	2189538	2192165
2013	1616114	2070098	2155272	2192414	2212959	2221649	2225903
2014	2030077	2586611	2686262	2723964	2747101	2758203
2015	2228101	2866935	2968309	3014576	3033979
2016	2271765	2891039	3002371	3052412
2017	2704709	3427287	3643030
2018	2433129	3265170
2019	2421846
