accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	55376	6613	2594	1052	554	351	134	200	43	53
2012	223828	282062	287203	288586	289176	289486	289593	289662	289699	289732
2013	186176	219150	222703	224000	224493	224701	224836	224901	224975	
2014	215912	249439	253374	254615	255129	255376	255529	255609
2015	223076	259203	263328	264428	265028	265279	265429
2016	217514	250036	253411	254529	255021	255345
2017	234776	269272	272812	274472	275281
2018	213803	250859	255021	256524
2019	200799	234404	238216
2020	204637	242727
2021	221412
