accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	21185	11030.0	5892.0	3676.0	2504.0	1518.0	1072.0	796.0	671.0	492.0
2013	57824	8261.0	3967.0	2099.0	1103.0	707.0	416.0	289.0	230.0	168.0
2014	64019	9518.0	4345.0	2243.0	1243.0	724.0	490.0	339.0	247.0	
2015	76595	10265.0	4644.0	2445.0	1292.0	764.0	505.0	360.0		
2016	50819	8771.0	4398.0	2204.0	1225.0	770.0	494.0			
2017	50584	9515.0	4727.0	2631.0	1400.0	773.0				
2018	55445	10023.0	4711.0	2602.0	1336.0					
2019	49269	8504.0	4027.0	2077.0						
2020	62107	11336.0	6146.0							
2021	71171	10777.0								
2022	80532									
