accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	321082	318282	307857	305747	322870	311596	278180	295181	301205	303463
2012	2263186	2208162	2204701	2204265	2203229	2200143	2194829	2195443	2196186	2196734
2013	2265750	2235853	2247753	2240915	2234688	2231893	2230586	2231215	2232235	
2014	2768436	2797872	2781836	2778515	2765414	2766103	2768000	2768540
2015	3072812	3117172	3086436	3067187	3067536	3061458	3063163
2016	3132012	3126303	3112353	3114686	3113571	3114983
2017	3986427	3878539	3797248	3626511	3621851
2018	3574812	3499900	3502621	3500959
2019	3651587	3575649	3588569
2020	4295790	4132287
2021	4756729
