accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	28801	2808	1072	567	302	157	77	35	49	47
2010	312378	336615	338335	338974	339179	339285	339329	339347	339364	339379
2011	439048	465936	467903	468600	468876	469015	469043	469078	469105	
2012	369862	403303	405762	406574	406872	406998	407067	407108
2013	294600	316343	318465	319147	319389	319526	319600
2014	329436	353312	355312	355898	356154	356289
2015	336014	362637	364429	365054	365378
2016	333226	357336	359462	360276
2017	372889	402304	404754
2018	381779	410712
2019	359511
