accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	95625	11256.0	4410.0	1987.0	950.0	525.0	309.0	110.0	168.0	42.0
2014	745368	839603.0	847069.0	849389.0	850346.0	850796.0	851002.0	851081.0	851175.0	851192.0
2015	644796	758134.0	766171.0	768578.0	769676.0	770187.0	770382.0	770497.0	770567.0	
2016	687044	769991.0	777249.0	779725.0	780691.0	781060.0	781293.0	781391.0		
2017	713730	804967.0	813031.0	815448.0	816491.0	816887.0	817108.0			
2018	672263	770468.0	778400.0	780557.0	781698.0	782201.0				
2019	657256	751824.0	759965.0	762387.0	763348.0					
2020	721363	834515.0	844465.0	847738.0						
2021	679799	801643.0	812261.0							
2022	531533	663580.0								
2023	683552									
