accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	27046	2795	1205	507	265	120	55	65	63	64
2011	439049	465936	467903	468600	468876	469015	469043	469078	469104	469115
2012	369862	403303	405762	406574	406872	406999	407066	407109	407138	
2013	294600	316343	318465	319148	319389	319526	319600	319664
2014	329436	353312	355312	355899	356153	356289	356393
2015	336014	362637	364429	365053	365378	365565
2016	333226	357336	359462	360276	360590
2017	372889	402303	404753	405683
2018	381779	410712	413401
2019	359512	387986
2020	373358
