accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	372437.0	554429.0	647104.0	699204.0	728065.0	740378.0	754385.0	761327.0	772597.0
2014	4630549	5692934.0	5885395.0	5967021.0	6004664.0	6026444.0	6037091.0	6042237.0	6046795.0	6048297.0
2015	4184227	5373643.0	5554423.0	5640984.0	5682217.0	5702348.0	5715009.0	5725075.0	5732716.0	
2016	4567326	5741087.0	5949359.0	6046672.0	6096270.0	6117662.0	6134059.0	6140963.0		
2017	5256461	6797613.0	7074586.0	6997890.0	7039379.0	7031354.0	7041781.0			
2018	5654853	7308534.0	7296836.0	7317933.0	7409261.0	7441912.0				
2019	5592284	7171088.0	7433819.0	7564181.0	7631156.0					
2020	6631098	8460946.0	8887138.0	8861182.0						
2021	6547494	8894252.0	9193052.0							
2022	6119287	8811006.0								
2023	8110518									
