accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	19377	10121.0	5851.0	3468.0	2212.0	1579.0	1239.0	905.0	707.0	627.0
2015	76595	10265.0	4644.0	2445.0	1292.0	763.0	505.0	359.0	286.0	247.0
2016	50821	8771.0	4398.0	2204.0	1225.0	770.0	496.0	362.0	260.0	
2017	50584	9515.0	4727.0	2631.0	1400.0	773.0	480.0	333.0		
2018	55447	10023.0	4711.0	2602.0	1338.0	834.0	574.0			
2019	49269	8505.0	4027.0	2077.0	1238.0	781.0				
2020	62107	11336.0	6148.0	2903.0	1454.0					
2021	71171	10777.0	6228.0	3047.0						
2022	80534	8560.0	3992.0							
2023	60398	11008.0								
2024	70134									
