accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	1108499	1005311.0	948845.0	895510.0	858542.0	850400.0	838109.0	794924.0	802467.0	797092.0
2014	6156125	6149294.0	6138411.0	6096123.0	6085104.0	6073627.0	6063827.0	6057581.0	6057709.0	6059423.0
2015	5845723	5852853.0	5790848.0	5766330.0	5749767.0	5746907.0	5740136.0	5747493.0	5751026.0	
2016	6223812	6228390.0	6193512.0	6178228.0	6166201.0	6161820.0	6158794.0	6160012.0		
2017	7242206	7379978.0	7349528.0	7114028.0	7114251.0	7063634.0	7065666.0			
2018	7743887	7890686.0	7589430.0	7447760.0	7478680.0	7495261.0				
2019	7662152	7708076.0	7694864.0	7699374.0	7714904.0					
2020	9268890	9174630.0	9151514.0	9027022.0						
2021	9394710	9465830.0	9533161.0							
2022	9858893	9638669.0								
2023	12741775									
