accident_year	12mo	24mo	36mo	48mo	60mo	72mo	84mo	96mo	108mo	120mo
Prior	0	142266	210213	241720	264519	273870	281250	285094	289808	292573
2012	1568086	2048315	2127912	2161300	2177587	2184062	2189538	2192165	2192748	2193992
2013	1616114	2070100	2155272	2192414	2212962	2221650	2225903	2227466	2228957	
2014	2030077	2586612	2686262	2723964	2747101	2758203	2762676	2767943
2015	2228101	2866936	2968312	3014576	3033979	3040704	3045730
2016	2271765	2891039	3002372	3052412	3072501	3082579
2017	2704712	3427287	3643029	3535085	3571667
2018	2433129	3265172	3351688	3400199
2019	2421848	3230051	3389271
2020	2691997	3687136
2021	3322154
